"title","publish","isbn"
"Ruby技術者認定試験合格教本 Ruby公式資格教科書","技術評論社","9784774175676"
"たのしいRuby第4版","SBクリエイティブ","9784797372274"
"メタプログラミングRuby第2版","オライリー・ジャパン, オーム社","9784873117430"
"パーフェクトRuby (Perfect series)","技術評論社","9784774158792"
"APIデザインケーススタディ Rubyの実例から学ぶ。問題に即したデザイン... (WEB+DB press plusシリーズ)","技術評論社","9784774178028"
"Ruby徹底攻略 Ruby2.1/Rails4/テスト最前線/Rub (WEB+DB press plusシリーズ)","技術評論社","9784774165349"
"Effective Ruby あなたのRubyをより輝かせる48の特別な方法","翔泳社","9784798139821"
"基礎Ruby on Rails改訂3版 入門からゆっくりとステップアップ...! (IMPRESS KISO SERIES)","インプレス","9784844338154"
"Rubyのしくみ","オーム社","9784274050657"
"Rubyによるクローラー開発技法 巡回・解析機能の実装と21の運用例","SBクリエイティブ","9784797380354"
"Ruby on Rails 4アプリケーションプログラミング","技術評論社","9784774164106"
"パーフェクトRuby on Rails (Perfect series)","技術評論社","9784774165165"
"実践Ruby on Rails 4 現場のプロから学ぶ本格Webプログラミング","インプレスジャパン, インプレス","9784844335924"
"Ruby公式資格教科書 Ruby技術者認定試験Silver/Gold対応 (EXPERT EXPASS)","技術評論社","9784774150017"
"Rubyベストプラクティス プロフェッショナルによるコードとテクニッ...","オーム社, オーム社","9784873114453"
"たった2日でできるRuby 自宅のWindows or MacでOK!","秀和システム","9784798040219"
"実用的Rubyスクリプティング 入門から次の段階に進むためのスクリプトの...","カットシステム","9784877833473"
"Ruby (シリーズアジャイルソフトウェア開発技術)","東京電機大学出版局","9784501550509"
"Ruby on Rails環境構築ガイド ソース管理から公開までを徹底解説","インプレスジャパン, インプレス","9784844333753"
"たのしい開発スタートアップRuby","技術評論社","9784774151663"
"The RSpec Book (Professional Ruby series)","翔泳社","9784798121932"
"Ruby逆引きハンドブック Ruby 1.8.6/1.8.7/1.9各バージョ","シーアンドアール研究所","9784863540224"
"7つの言語7つの世界 Ruby,Io,Prolog,Scala,Erla","オーム社","9784274068577"
"作りながら学ぶRuby入門第2版","SBクリエイティブ","9784797371277"
"基礎Ruby on Rails改訂新版 入門から実践へステップアップ...! (Impress kiso series)","インプレスジャパン, インプレス","9784844331568"
"独習Ruby","翔泳社","9784798117850"
"Ruby(1) はじめてのプログラミング (プログラミング学習シリ-ズ)","翔泳社","9784798117997"
"RESTful Webサービス","オーム社, オーム社","9784873113531"
"RailsによるアジャイルWebアプリケーション開発第4版","オーム社","9784274068669"
"明解!Ruby 奥深いRubyの文化を身に付けるテクニッ...","桐原書店","9784864011099"
